Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt,c/t
,356x171x45 UB,,I,UK,Steel,,45,351.4,171.1,7,9.7,10.2,311.6,44.5,7.41,6,94,20,1.36,30.2,12100,811,14.5,3.76,687,94.8,775,147,0.874,36.8,0.237,15.8,57.3,,,,,,,,,,,,,,,,
,356x127x39 UB,,I,UK,Steel,,39.1,353.4,126,6.6,10.7,10.2,311.6,47.2,4.63,5,70,22,1.18,30.2,10200,358,14.3,2.68,576,56.8,659,89,0.871,35.2,0.105,15.1,49.8,,,,,,,,,,,,,,,,
,356x127x33 UB,,I,UK,Steel,,33.1,349,125.4,6,8.5,10.2,311.6,51.9,5.82,5,70,20,1.17,35.4,8250,280,14,2.58,473,44.7,543,70.2,0.863,42.1,0.081,8.79,42.1,,,,,,,,,,,,,,,,
,305x165x54 UB,,I,UK,Steel,,54,310.4,166.9,7.9,13.7,8.9,265.2,33.6,5.15,6,90,24,1.26,23.3,11700,1060,13,3.93,754,127,846,196,0.889,23.6,0.234,34.8,68.8,,,,,,,,,,,,,,,,
,305x165x46 UB,,I,UK,Steel,,46.1,306.6,165.7,6.7,11.8,8.9,265.2,39.6,5.98,5,90,22,1.25,27.1,9900,896,13,3.9,646,108,720,166,0.89,27.1,0.195,22.2,58.7,,,,,,,,,,,,,,,,
,305x165x40 UB,,I,UK,Steel,,40.3,303.4,165,6,10.2,8.9,265.2,44.2,6.92,5,90,20,1.24,30.8,8500,764,12.9,3.86,560,92.6,623,142,0.889,31,0.164,14.7,51.3,,,,,,,,,,,,,,,,
,305x127x48 UB,,I,UK,Steel,,48.1,311,125.3,9,14,8.9,265.2,29.5,3.52,7,70,24,1.09,22.7,9570,461,12.5,2.74,616,73.6,711,116,0.873,23.3,0.102,31.8,61.2,,,,,,,,,,,,,,,,
,305x127x42 UB,,I,UK,Steel,,41.9,307.2,124.3,8,12.1,8.9,265.2,33.2,4.07,6,70,22,1.08,25.8,8200,389,12.4,2.7,534,62.6,614,98.4,0.872,26.5,0.0846,21.1,53.4,,,,,,,,,,,,,,,,
,305x127x37 UB,,I,UK,Steel,,37,304.4,123.4,7.1,10.7,8.9,265.2,37.4,4.6,6,70,20,1.07,28.9,7170,336,12.3,2.67,471,54.5,539,85.4,0.872,29.7,0.0725,14.8,47.2,,,,,,,,,,,,,,,,
,305x102x33 UB,,I,UK,Steel,,32.8,312.7,102.4,6.6,10.8,7.6,275.9,41.8,3.73,5,58,20,1.01,30.8,6500,194,12.5,2.15,416,37.9,481,60,0.867,31.6,0.0442,12.2,41.8,,,,,,,,,,,,,,,,
,305x102x28 UB,,I,UK,Steel,,28.2,308.7,101.8,6,8.8,7.6,275.9,46,4.58,5,58,18,1,35.5,5370,155,12.2,2.08,348,30.5,403,48.4,0.859,37.3,0.0349,7.4,35.9,,,,,,,,,,,,,,,,
,305x102x25 UB,,I,UK,Steel,,24.8,305.1,101.6,5.8,7,7.6,275.9,47.6,5.76,5,58,16,0.992,40,4460,123,11.9,1.97,292,24.2,342,38.8,0.846,43.4,0.027,4.77,31.6,,,,,,,,,,,,,,,,
,254x146x43 UB,,I,UK,Steel,,43,259.6,147.3,7.2,12.7,7.6,219,30.4,4.92,6,82,22,1.08,25.1,6540,677,10.9,3.52,504,92,566,141,0.891,21.1,0.103,23.9,54.8,,,,,,,,,,,,,,,,
,254x146x37 UB,,I,UK,Steel,,37,256,146.4,6.3,10.9,7.6,219,34.8,5.73,5,82,20,1.07,28.9,5540,571,10.8,3.48,433,78,483,119,0.89,24.3,0.0857,15.3,47.2,,,,,,,,,,,,,,,,
,254x146x31 UB,,I,UK,Steel,,31.1,251.4,146.1,6,8.6,7.6,219,36.5,7.26,5,82,18,1.06,34,4410,448,10.5,3.36,351,61.3,393,94.1,0.879,29.6,0.066,8.55,39.7,,,,,,,,,,,,,,,,
,254x102x28 UB,,I,UK,Steel,,28.3,260.4,102.2,6.3,10,7.6,225.2,35.7,4.04,5,58,18,0.904,31.9,4000,179,10.5,2.22,308,34.9,353,54.8,0.873,27.5,0.028,9.57,36.1,,,,,,,,,,,,,,,,
,254x102x25 UB,,I,UK,Steel,,25.2,257.2,101.9,6,8.4,7.6,225.2,37.5,4.8,5,58,16,0.897,35.7,3410,149,10.3,2.15,266,29.2,306,46,0.866,31.4,0.023,6.42,32,,,,,,,,,,,,,,,,
,254x102x22 UB,,I,UK,Steel,,22,254,101.6,5.7,6.8,7.6,225.2,39.5,5.93,5,58,16,0.89,40.5,2840,119,10.1,2.06,224,23.5,259,37.3,0.856,36.3,0.0182,4.15,28,,,,,,,,,,,,,,,,
,203x133x30 UB,,I,UK,Steel,,30,206.8,133.9,6.4,9.6,7.6,172.4,26.9,5.85,5,74,18,0.923,30.8,2900,385,8.71,3.17,280,57.5,314,88.2,0.882,21.5,0.0374,10.3,38.2,,,,,,,,,,,,,,,,
,203x133x25 UB,,I,UK,Steel,,25.1,203.2,133.2,5.7,7.8,7.6,172.4,30.2,7.2,5,74,16,0.915,36.5,2340,308,8.56,3.1,230,46.2,258,70.9,0.876,25.6,0.0294,5.96,32,,,,,,,,,,,,,,,,
,203x102x23 UB,,I,UK,Steel,,23.1,203.2,101.8,5.4,9.3,7.6,169.4,31.4,4.37,5,60,18,0.79,34.2,2100,164,8.46,2.36,207,32.2,234,49.7,0.888,22.4,0.0154,7.02,29.4,,,,,,,,,,,,,,,,
,178x102x19 UB,,I,UK,Steel,,19,177.8,101.2,4.8,7.9,7.6,146.8,30.6,5.14,4,60,16,0.738,38.7,1360,137,7.48,2.37,153,27,171,41.6,0.886,22.6,0.0099,4.41,24.3,,,,,,,,,,,,,,,,
,152x89x16 UB,,I,UK,Steel,,16,152.4,88.7,4.5,7.7,7.6,121.8,27.1,4.48,4,54,16,0.638,40,834,89.8,6.41,2.1,109,20.2,123,31.2,0.89,19.5,0.0047,3.56,20.3,,,,,,,,,,,,,,,,
,127x76x13 UB,,I,UK,Steel,,13,127,76,4,7.6,7.6,96.6,24.2,3.74,4,46,16,0.537,41.4,473,55.7,5.35,1.84,74.6,14.7,84.2,22.6,0.894,16.3,0.002,2.85,16.5,,,,,,,,,,,,,,,,
,430x100x64 PFC,,C,UK,Steel,-,64.4,430,100,11,19,15,362,32.9,3.89,13,96,36,1.23,19,21900,722,16.3,2.97,1020,97.9,1220,176,0.917,22.5,0.219,63,82.1,3.27,,,,,,,,,,,,,,,
,380x100x54 PFC,,C,UK,Steel,-,54,380,100,9.5,17.5,15,315,33.2,4.31,12,98,34,1.13,20.9,15000,643,14.8,3.06,791,89.2,933,161,0.932,21.2,0.15,45.7,68.7,3.48,,,,,,,,,,,,,,,
,300x100x46 PFC,,C,UK,Steel,-,45.5,300,100,9,16.5,15,237,26.3,4.61,11,98,32,0.969,21.3,8230,568,11.9,3.13,549,81.7,641,148,0.944,17,0.0813,36.8,58,3.68,,,,,,,,,,,,,,,
,300x90x41 PFC,,C,UK,Steel,-,41.4,300,90,9,15.5,12,245,27.2,4.45,11,88,28,0.932,22.5,7220,404,11.7,2.77,481,63.1,568,114,0.934,18.4,0.0581,28.8,52.7,3.18,,,,,,,,,,,,,,,
,260x90x35 PFC,,C,UK,Steel,-,34.8,260,90,8,14,12,208,26,5,10,88,28,0.854,24.5,4730,353,10.3,2.82,364,56.3,425,102,0.942,17.2,0.0379,20.6,44.4,3.32,,,,,,,,,,,,,,,
,260x75x28 PFC,,C,UK,Steel,-,27.6,260,75,7,12,12,212,30.3,4.67,9,74,26,0.796,28.8,3620,185,10.1,2.3,278,34.4,328,62,0.932,20.5,0.0203,11.7,35.1,2.62,,,,,,,,,,,,,,,
,230x90x32 PFC,,C,UK,Steel,-,32.2,230,90,7.5,14,12,178,23.7,5.04,10,90,28,0.795,24.7,3520,334,9.27,2.86,306,55,355,98.9,0.95,15.1,0.0279,19.3,41,3.46,,,,,,,,,,,,,,,
,230x75x26 PFC,,C,UK,Steel,-,25.7,230,75,6.5,12.5,12,181,27.8,4.52,9,76,26,0.737,28.7,2750,181,9.17,2.35,239,34.8,278,63.2,0.947,17.3,0.0153,11.8,32.7,2.78,,,,,,,,,,,,,,,
,200x90x30 PFC,,C,UK,Steel,-,29.7,200,90,7,14,12,148,21.1,5.07,9,90,28,0.736,24.8,2520,314,8.16,2.88,252,53.4,291,94.5,0.954,12.9,0.0197,18.3,37.9,3.6,,,,,,,,,,,,,,,
,200x75x23 PFC,,C,UK,Steel,-,23.4,200,75,6,12.5,12,151,25.2,4.56,8,76,26,0.678,28.9,1960,170,8.11,2.39,196,33.8,227,60.6,0.956,14.8,0.0107,11.1,29.9,2.91,,,,,,,,,,,,,,,
,180x90x26 PFC,,C,UK,Steel,-,26.1,180,90,6.5,12.5,12,131,20.2,5.72,9,90,26,0.697,26.7,1820,277,7.4,2.89,202,47.4,232,83.5,0.949,12.8,0.0141,13.3,33.2,3.64,,,,,,,,,,,,,,,
,180x75x20 PFC,,C,UK,Steel,-,20.3,180,75,6,10.5,12,135,22.5,5.43,8,76,24,0.638,31.4,1370,146,7.27,2.38,152,28.8,176,51.8,0.946,15.3,0.00754,7.34,25.9,2.87,,,,,,,,,,,,,,,
,150x90x24 PFC,,C,UK,Steel,-,23.9,150,90,6.5,12,12,102,15.7,5.96,9,90,26,0.637,26.7,1160,253,6.18,2.89,155,44.4,179,76.9,0.936,10.8,0.0089,11.8,30.4,3.71,,,,,,,,,,,,,,,
,150x75x18 PFC,,C,UK,Steel,-,17.9,150,,5.5,10,12,106,19.3,5.75,8,76,24,0.579,32.4,861,131,6.15,2.4,115,26.6,132,47.2,0.946,13.1,0.00467,6.1,22.8,2.99,,,,,,,,,,,,,,,
,125x65x15 PFC,,C,UK,Steel,-,14.8,125,65,5.5,9.5,12,82,14.9,5,8,66,22,0.489,33.1,483,80,5.07,2.06,77.3,18.8,89.9,33.2,0.942,11.1,0.00194,4.72,18.8,2.56,,,,,,,,,,,,,,,
,100x50x10 PFC,,C,UK,Steel,-,10.2,100,50,5,8.5,9,65,13,4.24,7,52,18,0.382,37.5,208,32.3,4,1.58,41.5,9.89,48.9,17.5,0.942,10,0.000491,2.53,13,1.94,,,,,,,,,,,,,,,
,200x200x24 EA,,L,UK,Steel,-,71.1,200,200,24,24,18,,,,,,,,,3330,3330,6.06,6.06,235,235,,,,,,182,90.6,,18,9,5.84,5.84,5280,1380,7.64,3.9,2.5,,,,,,
,200x200x20 EA,,L,UK,Steel,-,59.9,200,200,20,20,18,,,,,,,,,2850,2850,6.11,6.11,199,199,,,,,,107,76.3,,18,9,5.68,5.68,4530,1170,7.7,3.92,3.05,,,,,,
,200x200x18 EA,,L,UK,Steel,-,54.3,200,200,18,18,18,,,,,,,,,2600,2600,6.13,6.13,181,181,,,,,,78.9,69.1,,18,9,5.6,5.6,4150,1050,7.75,3.9,3.43,,,,,,
,200x200x16 EA,,L,UK,Steel,-,48.5,200,200,16,16,18,,,,,,,,,2340,2340,6.16,6.16,162,162,,,,,,56.1,61.8,,18,9,5.52,5.52,3720,960,7.76,3.94,3.85,,,,,,
,150x150x18 UKA,,L,UK,Steel,Tata,40.1,150,150,18,18,16,,,,,,,,,1060,1060,4.55,4.55,99.8,99.8,,,,,,58.6,51.2,,16,8,4.38,4.38,1680,440,5.73,2.93,2.48,,,,,,
,150x150x15 EA,,L,UK,Steel,-,33.8,150,150,15,15,16,,,,,,,,,898,898,4.57,4.57,83.5,83.5,,,,,,34.6,43,,16,8,4.25,4.25,1430,370,5.76,2.93,3.01,,,,,,
,150x150x12 EA,,L,UK,Steel,-,27.3,150,150,12,12,16,,,,,,,,,737,737,4.6,4.6,67.7,67.7,,,,,,18.2,34.8,,16,8,4.12,4.12,1170,303,5.8,2.95,3.77,,,,,,
,150x150x10 EA,,L,UK,Steel,-,23,150,150,10,10,16,,,,,,,,,624,624,4.62,4.62,56.9,56.9,,,,,,10.8,29.3,,16,8,4.03,4.03,990,258,5.82,2.97,4.51,,,,,,
,120x120x15 UKA,,L,UK,Steel,Tata,26.6,120,120,15,15,13,,,,,,,,,448,448,3.63,3.63,52.8,52.8,,,,,,27,34,,13,6.5,3.52,3.52,710,186,4.57,2.34,2.37,,,,,,
,120x120x12 EA,,L,UK,Steel,-,21.6,120,120,12,12,13,,,,,,,,,368,368,3.65,3.65,42.7,42.7,,,,,,14.2,27.5,,13,6.5,3.4,3.4,584,152,4.6,2.35,2.99,,,,,,
,120x120x10 EA,,L,UK,Steel,-,18.2,120,120,10,10,13,,,,,,,,,313,313,3.67,3.67,36,36,,,,,,8.41,23.2,,13,6.5,3.31,3.31,497,129,4.63,2.36,3.61,,,,,,
,120x120x8 UKA,,L,UK,Steel,Tata,14.7,120,120,8,8,13,,,,,,,,,259,259,3.71,3.71,29.5,29.5,,,,,,4.44,18.8,,13,6.5,3.24,3.24,411,107,4.67,2.38,4.56,,,,,,
,100x100x15 UKA,,L,UK,Steel,Tata,21.9,100,100,15,15,12,,,,,,,,,250,250,2.99,2.99,35.8,35.8,,,,,,22.3,28,,12,6,3.02,3.02,395,105,3.76,1.94,1.92,,,,,,
,100x100x12 EA,,L,UK,Steel,-,17.8,100,100,12,12,12,,,,,,,,,207,207,3.02,3.02,29.1,29.1,,,,,,11.8,22.7,,12,6,2.9,2.9,328,85.7,3.8,1.94,2.44,,,,,,
,100x100x10 EA,,L,UK,Steel,-,15,100,100,10,10,12,,,,,,,,,177,177,3.04,3.04,24.6,24.6,,,,,,6.97,19.2,,12,6,2.82,2.82,280,73,3.83,1.95,2.94,,,,,,
,100x100x8 EA,,L,UK,Steel,-,12.2,100,100,8,8,12,,,,,,,,,145,145,3.06,3.06,19.9,19.9,,,,,,3.68,15.5,,12,6,2.74,2.74,230,59.9,3.85,1.96,3.7,,,,,,
,90x90x12 UKA,,L,UK,Steel,Tata,15.9,90,90,12,12,11,,,,,,,,,149,149,2.71,2.71,23.5,23.5,,,,,,10.5,20.3,,11,5.5,2.66,2.66,235,62,3.4,1.75,2.17,,,,,,
,90x90x10 EA,,L,UK,Steel,-,13.4,90,90,10,10,11,,,,,,,,,127,127,2.72,2.72,19.8,19.8,,,,,,6.2,17.1,,11,5.5,2.58,2.58,201,52.6,3.42,1.75,2.64,,,,,,
,90x90x8 EA,,L,UK,Steel,-,10.9,90,90,8,8,11,,,,,,,,,104,104,2.74,2.74,16.1,16.1,,,,,,3.28,13.9,,11,5.5,2.5,2.5,166,43.1,3.45,1.76,3.33,,,,,,
,90x90x7 EA,,L,UK,Steel,-,9.61,90,90,7,7,11,,,,,,,,,92.6,92.6,2.75,2.75,14.1,14.1,,,,,,2.24,12.2,,11,5.5,2.45,2.45,147,38.3,3.46,1.77,3.8,,,,,,
,200x150x18 UKA,,L,UK,Steel,Tata,47.1,200,150,18,18,15,,,,,,,,,2390,1160,6.3,4.38,175,104,,,,,,64.9,60.1,,15,7.5,6.34,3.86,2920,623,6.97,3.22,3.58,5,0.549,7.85,,,
,200x150x15 EA,,L,UK,Steel,-,39.6,200,150,15,15,15,,,,,,,,,2020,979,6.33,4.4,147,86.9,,,,,,37.9,50.5,,15,7.5,6.21,3.73,2480,526,7,3.23,3.14,4.35,0.551,6.86,,,
,200x150x12 EA,,L,UK,Steel,-,32,200,150,12,12,15,,,,,,,,,1650,803,6.36,4.44,119,70.5,,,,,,19.6,40.8,,15,7.5,6.08,3.61,2030,430,7.04,3.25,2.52,3.43,0.552,5.45,,,
,200x100x15 EA,,L,UK,Steel,-,33.8,200,100,15,15,15,,,,,,,,,1760,299,6.4,2.64,137,38.5,,,,,,32.3,43,,15,7.5,7.16,2.22,1860,193,6.59,2.12,3.18,4.08,0.26,5.24,,,
,200x100x12 EA,,L,UK,Steel,-,27.3,200,100,12,12,15,,,,,,,,,1440,247,6.43,2.67,111,31.3,,,,,,16.7,34.8,,15,7.5,7.03,2.1,1530,159,6.63,2.14,2.54,3.22,0.262,4.17,,,
,200x100x10 EA,,L,UK,Steel,-,23,200,100,10,10,15,,,,,,,,,1220,210,6.46,2.68,93.2,26.3,,,,,,9.73,29.2,,15,7.5,6.93,2.01,1290,135,6.65,2.15,2.1,2.64,0.263,3.46,,,
,150x90x15 EA,,L,UK,Steel,-,26.6,150,90,15,15,12,,,,,,,,,761,205,4.74,2.46,77.7,30.4,,,,,,25.4,33.9,,12,6,5.21,2.23,841,126,4.98,1.93,4,5.75,0.354,9.43,,,
,150x90x12 EA,,L,UK,Steel,-,21.6,150,90,12,12,12,,,,,,,,,627,171,4.77,2.49,63.3,24.8,,,,,,13.2,27.5,,12,6,5.08,2.12,694,104,5.02,1.94,3.21,4.55,0.358,7.5,,,
,150x90x10 EA,,L,UK,Steel,-,18.2,150,90,10,10,12,,,,,,,,,533,146,4.8,2.51,53.3,21,,,,,,7.73,23.2,,12,6,5,2.04,591,88.3,5.05,1.95,2.66,3.73,0.36,6.23,,,
,150x75x15 EA,,L,UK,Steel,-,24.8,150,75,15,15,12,,,,,,,,,713,119,4.75,1.94,75.2,21,,,,,,23.8,31.7,,12,6,5.52,1.81,753,78.6,4.88,1.58,3.95,5.83,0.253,10.4,,,
,150x75x12 EA,,L,UK,Steel,-,20.2,150,75,12,12,12,,,,,,,,,588,99.6,4.78,1.97,61.3,17.1,,,,,,12.3,25.7,,12,6,5.4,1.69,623,64.7,4.92,1.59,3.3,4.79,0.258,8.6,,,
,150x75x10 EA,,L,UK,Steel,-,17,150,75,10,10,12,,,,,,,,,501,85.6,4.81,1.99,51.6,14.5,,,,,,7.23,21.7,,12,6,5.31,1.61,531,55.1,4.95,1.6,2.62,3.74,0.261,6.84,,,
,125x75x12 EA,,L,UK,Steel,-,17.8,125,75,12,12,11,,,,,,,,,354,95.5,3.95,2.05,43.2,16.9,,,,,,10.9,22.7,,11,5.5,4.31,1.84,391,58.5,4.15,1.61,3.89,5.56,0.354,9.03,,,
,125x75x10 EA,,L,UK,Steel,-,15,125,,10,10,11,,,,,,,,,302,82.1,3.97,2.07,36.5,14.3,,,,,,6.37,19.1,,11,5.5,4.23,1.76,334,49.9,4.18,1.61,3.24,4.58,0.357,7.5,,,
,125x75x8 EA,,L,UK,Steel,-,12.2,125,75,8,8,11,,,,,,,,,247,67.6,4,2.09,29.6,11.6,,,,,,3.31,15.5,,11,5.5,4.14,1.68,274,40.9,4.21,1.63,2.58,3.59,0.36,5.96,,,
,100x75x12 EA,,L,UK,Steel,-,15.4,100,75,12,12,10,,,,,,,,,189,90.2,3.1,2.14,28,16.5,,,,,,9.46,19.7,,10,5,3.27,2.03,230,49.5,3.42,1.59,5.26,7.92,0.54,13.9,,,
,100x75x10 EA,,L,UK,Steel,-,13,100,75,10,10,10,,,,,,,,,162,77.6,3.12,2.16,23.8,14,,,,,,5.53,16.6,,10,5,3.19,1.95,197,42.2,3.45,1.59,4.42,6.57,0.544,11.5,,,
,100x75x8 EA,,L,UK,Steel,-,10.6,100,75,8,8,10,,,,,,,,,133,64.1,3.14,2.18,19.3,11.4,,,,,,2.88,13.5,,10,5,3.1,1.87,162,34.6,3.47,1.6,3.54,5.17,0.547,9.19,,,
,100x65x10 UKA,,L,UK,Steel,Tata,12.3,100,65,10,10,10,,,,,,,,,154,51,3.14,1.81,23.2,10.5,,,,,,5.2,15.6,,10,5,3.36,1.63,175,30.1,3.35,1.39,4.43,5.7,0.41,6.97,,,
,100x65x8 UKA,,L,UK,Steel,Tata,9.94,100,65,8,8,10,,,,,,,,,127,42.2,3.16,1.83,18.9,8.54,,,,,,2.71,12.7,,10,5,3.27,1.55,144,24.8,3.37,1.4,3.53,4.5,0.413,5.55,,,
,100x65x7 UKA,,L,UK,Steel,Tata,8.77,100,65,7,7,10,,,,,,,,,113,37.6,3.17,1.83,16.6,7.53,,,,,,1.83,11.2,,10,5,3.23,1.51,128,22,3.39,1.4,2.93,3.72,0.415,4.6,,,
,21.3x2.6 CHS,,O,UK,Steel,-,1.2,21.3,21.3,2.6,2.6,,,,,,,,0.067,55.9,0.681,0.681,0.668,0.668,0.639,0.639,0.915,0.915,,,,1.36,1.53,,,,,,,,,,,,,,8.19,1.28,
,21.3x2.9 CHS,,O,UK,Steel,-,1.32,21.3,21.3,2.9,2.9,,,,,,,,0.067,50.9,0.727,0.727,0.659,0.659,0.683,0.683,0.99,0.99,,,,1.45,1.68,,,,,,,,,,,,,,7.34,1.37,
,21.3x3.2 CHS,,O,UK,Steel,-,1.43,21.3,21.3,3.2,3.2,,,,,,,,0.067,46.9,0.768,0.768,0.65,0.65,0.722,0.722,1.06,1.06,,,,1.54,1.82,,,,,,,,,,,,,,6.66,1.44,
,26.9x2.6 CHS,,O,UK,Steel,-,1.56,26.9,26.9,2.6,2.6,,,,,,,,0.085,54.6,1.48,1.48,0.864,0.864,1.1,1.1,1.54,1.54,,,,2.96,1.98,,,,,,,,,,,,,,10.3,2.2,
,26.9x2.9 CHS,,O,UK,Steel,-,1.72,26.9,26.9,2.9,2.9,,,,,,,,0.085,49.6,1.6,1.6,0.855,0.855,1.19,1.19,1.68,1.68,,,,3.19,2.19,,,,,,,,,,,,,,9.28,2.38,
,26.9x3.2 CHS,,O,UK,Steel,-,1.87,26.9,26.9,3.2,3.2,,,,,,,,0.085,45.5,1.7,1.7,0.846,0.846,1.27,1.27,1.81,1.81,,,,3.41,2.38,,,,,,,,,,,,,,8.41,2.53,
,26.9x3.6 CHS,,O,UK,Steel,-,2.07,26.9,26.9,3.6,3.6,,,,,,,,0.085,41.1,1.83,1.83,0.834,0.834,1.36,1.36,1.97,1.97,,,,3.66,2.64,,,,,,,,,,,,,,7.47,2.72,
,33.7x2.6 CHS,,O,UK,Steel,-,1.99,33.7,33.7,2.6,2.6,,,,,,,,0.106,53.1,3.09,3.09,1.1,1.1,1.84,1.84,2.52,2.52,,,,6.19,2.54,,,,,,,,,,,,,,13,3.67,
,33.7x2.9 CHS,,O,UK,Steel,-,2.2,33.7,33.7,2.9,2.9,,,,,,,,0.106,48.1,3.36,3.36,1.09,1.09,1.99,1.99,2.76,2.76,,,,6.71,2.81,,,,,,,,,,,,,,11.6,3.98,
,33.7x3.2 CHS,,O,UK,Steel,-,2.41,33.7,33.7,3.2,3.2,,,,,,,,0.106,44,3.6,3.6,1.08,1.08,2.14,2.14,2.99,2.99,,,,7.21,3.07,,,,,,,,,,,,,,10.5,4.28,
,33.7x3.6 CHS,,O,UK,Steel,-,2.67,33.7,33.7,3.6,3.6,,,,,,,,0.106,39.6,3.91,3.91,1.07,1.07,2.32,2.32,3.28,3.28,,,,7.82,3.4,,,,,,,,,,,,,,9.36,4.64,
,33.7x4 CHS,,O,UK,Steel,-,2.93,33.7,33.7,4,4,,,,,,,,0.106,36.1,4.19,4.19,1.06,1.06,2.49,2.49,3.55,3.55,,,,8.38,3.73,,,,,,,,,,,,,,8.43,4.97,
,33.7x4.5 CHS,,O,UK,Steel,-,3.24,33.7,33.7,4.5,4.5,,,,,,,,0.106,32.8,4.5,4.5,1.04,1.04,2.67,2.67,3.87,3.87,,,,9.01,4.13,,,,,,,,,,,,,,7.49,5.35,
,33.7x5 CHS,,O,UK,Steel,-,3.54,33.7,33.7,5,5,,,,,,,,0.106,30,4.78,4.78,1.03,1.03,2.84,2.84,4.16,4.16,,,,9.57,4.51,,,,,,,,,,,,,,6.74,5.68,
,42.4x2.6 CHS,,O,UK,Steel,-,2.55,42.4,42.4,2.6,2.6,,,,,,,,0.133,52.1,6.46,6.46,1.41,1.41,3.05,3.05,4.12,4.12,,,,12.9,3.25,,,,,,,,,,,,,,16.3,6.1,
,42.4x2.9 CHS,,O,UK,Steel,-,2.82,42.4,42.4,2.9,2.9,,,,,,,,0.133,47.1,7.06,7.06,1.4,1.4,3.33,3.33,4.53,4.53,,,,14.1,3.6,,,,,,,,,,,,,,14.6,6.66,
,42.4x3.2 CHS,,O,UK,Steel,-,3.09,42.4,42.4,3.2,3.2,,,,,,,,0.133,43,7.62,7.62,1.39,1.39,3.59,3.59,4.93,4.93,,,,15.2,3.94,,,,,,,,,,,,,,13.2,7.19,
,42.4x3.6 CHS,,O,UK,Steel,-,3.44,42.4,42.4,3.6,3.6,,,,,,,,0.133,38.6,8.33,8.33,1.38,1.38,3.93,3.93,5.44,5.44,,,,16.7,4.39,,,,,,,,,,,,,,11.8,7.86,
,42.4x4 CHS,,O,UK,Steel,-,3.79,42.4,42.4,4,4,,,,,,,,0.133,35.1,8.99,8.99,1.36,1.36,4.24,4.24,5.92,5.92,,,,18,4.83,,,,,,,,,,,,,,10.6,8.48,
,42.4x4.5 CHS,,O,UK,Steel,-,4.21,42.4,42.4,4.5,4.5,,,,,,,,0.133,31.7,9.76,9.76,1.35,1.35,4.6,4.6,6.49,6.49,,,,19.5,5.36,,,,,,,,,,,,,,9.42,9.2,
,42.4x5 CHS,,O,UK,Steel,-,4.61,42.4,42.4,5,5,,,,,,,,0.133,28.9,10.5,10.5,1.33,1.33,4.93,4.93,7.04,7.04,,,,20.9,5.87,,,,,,,,,,,,,,8.48,9.86,
,48.3x2.6 CHS,,O,UK,Steel,-,2.93,48.3,48.3,2.6,2.6,,,,,,,,0.152,51.8,9.78,9.78,1.62,1.62,4.05,4.05,5.44,5.44,,,,19.6,3.73,,,,,,,,,,,,,,18.6,8.1,
,48.3x2.9 CHS,,O,UK,Steel,-,3.25,48.3,48.3,2.9,2.9,,,,,,,,0.152,46.8,10.7,10.7,1.61,1.61,4.43,4.43,5.99,5.99,,,,21.4,4.14,,,,,,,,,,,,,,16.7,8.86,
,48.3x3.2 CHS,,O,UK,Steel,-,3.56,48.3,48.3,3.2,3.2,,,,,,,,0.152,42.7,11.6,11.6,1.6,1.6,4.8,4.8,6.52,6.52,,,,23.2,4.53,,,,,,,,,,,,,,15.1,9.59,
,48.3x3.6 CHS,,O,UK,Steel,-,3.97,48.3,48.3,3.6,3.6,,,,,,,,0.152,38.3,12.7,12.7,1.59,1.59,5.26,5.26,7.21,7.21,,,,25.4,5.06,,,,,,,,,,,,,,13.4,10.5,
,48.3x4 CHS,,O,UK,Steel,-,4.37,48.3,48.3,4,4,,,,,,,,0.152,34.8,13.8,13.8,1.57,1.57,5.7,5.7,7.87,7.87,,,,27.5,5.57,,,,,,,,,,,,,,12.1,11.4,
,48.3x4.5 CHS,,O,UK,Steel,-,4.86,48.3,48.3,4.5,4.5,,,,,,,,0.152,31.3,15,15,1.56,1.56,6.21,6.21,8.66,8.66,,,,30,6.19,,,,,,,,,,,,,,10.7,12.4,
,48.3x5 CHS,,O,UK,Steel,-,5.34,48.3,48.3,5,5,,,,,,,,0.152,28.4,16.2,16.2,1.54,1.54,6.69,6.69,9.42,9.42,,,,32.3,6.8,,,,,,,,,,,,,,9.66,13.4,
,48.3x5.6 CHS,,O,UK,Steel,-,5.9,48.3,48.3,5.6,5.6,,,,,,,,0.152,25.8,17.4,17.4,1.52,1.52,7.21,7.21,10.3,10.3,,,,34.8,7.51,,,,,,,,,,,,,,8.63,14.4,
,48.3x6.3 CHS,,O,UK,Steel,-,6.53,48.3,48.3,6.3,6.3,,,,,,,,0.152,23.3,18.7,18.7,1.5,1.5,7.76,7.76,11.2,11.2,,,,37.5,8.31,,,,,,,,,,,,,,7.67,15.5,
,60.3x2.6 CHS,,O,UK,Steel,-,3.7,60.3,60.3,2.6,2.6,,,,,,,,0.189,51,19.7,19.7,2.04,2.04,6.52,6.52,8.66,8.66,,,,39.3,4.71,,,,,,,,,,,,,,23.2,13,
